Timestamp,Price_Wafer1,Price_Wafer3
2025-09-02,242.63222690938184,228.028706083957
2025-09-03,242.63222690938184,228.028706083957
2025-09-04,245.254503296528,231.56880325337465
2025-09-05,248.87024530710752,235.5571354680085
2025-09-06,249.60264892226965,242.4702157049652
2025-09-07,249.57409051500596,242.43791714451385
2025-09-08,257.4053467172903,242.43791714451385
2025-09-09,257.4053467172903,246.63762639881307
2025-09-10,260.39288029780886,253.5309044540936
2025-09-11,258.2333540453497,259.37241951064226
2025-09-12,258.3665353303072,258.97663082672045
2025-09-13,254.87159744038652,259.5173897087142
2025-09-14,254.83745057425315,259.3375889558425
2025-09-15,258.476323308937,261.0872414249748
2025-09-16,258.476323308937,261.0872414249748
2025-09-17,258.3841886899866,264.1018313899532
2025-09-18,262.14529302827486,264.6098908789158
2025-09-19,266.5808585392037,270.8690627919497
2025-09-20,267.788402977895,265.50792990360713
